scenario_family,replicate,seed,status,theta_hat,se_theta,studentized_statistic,reject
bounded_composite_saturated_v1,1,1680257282,success,0.010391823259292412,0.014987395106261063,-2.642765901604947,True
bounded_composite_saturated_v1,2,2851381347,full_worse_than_reduced,-0.015249261262388576,0.015259816092077225,-4.275887787157899,False
bounded_composite_saturated_v1,3,1459195602,success,0.01964840475444617,0.012069170653170378,-2.514803719142123,True
bounded_composite_saturated_v1,4,3924297830,success,0.041270572749680025,0.01795319204343599,-0.4862326002640635,False
bounded_composite_saturated_v1,5,2581488733,success,0.0035700951059600815,0.007388137296097538,-6.284385770492448,True
bounded_composite_saturated_v1,6,1135385099,success,0.015376877675115147,0.011988936484488908,-2.8879227419112357,True
bounded_composite_saturated_v1,7,2023914569,success,0.026684833158652225,0.014679047290101886,-1.5883297042764652,False
bounded_composite_saturated_v1,8,3805836139,success,0.018184705178415608,0.013529656015522475,-2.351522816624675,True
bounded_composite_saturated_v1,9,3392752122,success,0.012044366934449104,0.009004376855545062,-4.215242617502967,True
bounded_composite_saturated_v1,10,889086408,success,0.0075153712570193675,0.008510771089239533,-4.991865989286851,True
bounded_composite_saturated_v1,11,2149264689,success,0.013864461091857752,0.00994875210592981,-3.6321679868376844,True
bounded_composite_saturated_v1,12,3120147753,success,0.02781155848898943,0.015011812658664365,-1.4780654418974564,False
bounded_composite_saturated_v1,13,4293104475,success,0.01600613258190475,0.014309732671214954,-2.375576693090594,True
bounded_composite_saturated_v1,14,23510812,success,0.004258035275478407,0.006180011833001426,-7.401598242944828,True
bounded_composite_saturated_v1,15,2784631549,success,0.019814950027076714,0.01663173012252251,-1.8149073939124962,False
bounded_composite_saturated_v1,16,2155504005,full_worse_than_reduced,-0.0035967359540501876,0.003370881548554559,-15.899916737517099,False
bounded_composite_saturated_v1,17,239338138,success,0.029482409869294474,0.022057951268706952,-0.9301675337279989,False
bounded_composite_saturated_v1,18,2043171249,success,0.04608838455884867,0.021064295319665347,-0.18569885115024468,False
bounded_composite_saturated_v1,19,397840291,success,0.002232998878462704,0.01845215136887928,-2.5886954949924896,True
nonlinear_continuous_v1,0,2693104739,success,0.013133211458417213,0.020995651329986365,-1.7559249752318464,False
nonlinear_continuous_v1,1,1373992126,success,0.01135750841477044,0.011808196788650315,-3.272514193053724,True
nonlinear_continuous_v1,2,1288895149,full_worse_than_reduced,-0.00214635717034254,0.006235259269456191,-8.363141758320259,False
nonlinear_continuous_v1,3,1072284609,success,0.00043000742704852403,0.008787683074018981,-5.640848919495798,True
nonlinear_continuous_v1,4,2931788096,success,0.019071418172604163,0.015417623020265918,-2.006053837659756,False
nonlinear_continuous_v1,5,2151748785,success,0.00902058004327596,0.013040182130035615,-3.142549662886658,True
nonlinear_continuous_v1,6,801294037,success,0.015510385082624846,0.014924669376814453,-2.3109131630718025,True
nonlinear_continuous_v1,7,1338459665,full_worse_than_reduced,-0.0033388052406618652,0.004918182842462345,-10.84522616364486,False
nonlinear_continuous_v1,8,3211657138,success,0.005398479887738733,0.012354697106187999,-3.6100860853903134,True
nonlinear_continuous_v1,9,4174448378,success,0.010445656803715541,0.009781804586308703,-4.043665240629268,True
nonlinear_continuous_v1,10,1029213998,success,0.004858183044246714,0.008712407759967978,-5.18132509398518,True
nonlinear_continuous_v1,11,3354332131,success,0.007057777891275628,0.012265165191904277,-3.501153179499673,True
nonlinear_continuous_v1,12,3068853195,success,0.014906024600145224,0.012594465371762752,-2.786460112752126,True
nonlinear_continuous_v1,13,843778705,success,0.016435556551436723,0.014117485631142889,-2.3775085964685383,True
nonlinear_continuous_v1,14,4255922134,success,0.009577274696162662,0.010410341422852576,-3.882939440881561,True
nonlinear_continuous_v1,15,1230252484,success,0.007803671159436414,0.013676850414074205,-3.085237285123871,True
nonlinear_continuous_v1,16,2663899905,full_worse_than_reduced,-0.010951968904607664,0.018656762954042828,-3.2670173842456243,False
nonlinear_continuous_v1,17,3775845716,success,0.0004932444459709823,0.009031882731275696,-5.481332854621387,True
nonlinear_continuous_v1,18,850616316,success,0.009382768894159522,0.013044157886720057,-3.113825473332541,True
nonlinear_continuous_v1,19,2010764466,success,0.01191301320698206,0.015707287860212627,-2.4247971471570375,True
learner_misspecification_v1,0,2722382158,success,0.2922983494074812,0.042868936090544284,5.652072841176144,False
learner_misspecification_v1,1,1711306442,success,0.3091456354303824,0.0582759986532167,4.446867345379729,False
learner_misspecification_v1,2,963807686,success,0.31074831265906494,0.04775577092948279,5.460037762642164,False
learner_misspecification_v1,3,1552154977,success,0.44392821472265787,0.040811251879732266,9.652441338568469,False
learner_misspecification_v1,4,1098754374,success,0.3069027694317445,0.03887909145055096,6.607735928152814,False
learner_misspecification_v1,5,1319242622,success,0.21397258574075353,0.04609880704551593,3.556981107533959,False
learner_misspecification_v1,6,369080244,success,0.32540365137572413,0.05059385551825517,5.443420916525201,False
learner_misspecification_v1,7,926627446,success,0.4447797728608329,0.04615370502523872,8.553587900363608,False
learner_misspecification_v1,8,2457160695,success,0.3620627843571213,0.04965188257382784,6.285014146102362,False
learner_misspecification_v1,9,519021184,success,0.26170095126295284,0.08215235639713803,2.576930967622591,False
learner_misspecification_v1,10,1462523738,success,0.20237369534765604,0.08387926940398045,1.816583482788719,False
learner_misspecification_v1,11,2463140072,success,0.269033922519556,0.06813327783727136,3.214786217135976,False
learner_misspecification_v1,12,2404287613,success,0.318666028167148,0.052101109472344156,5.15662777411216,False
learner_misspecification_v1,13,4258873903,success,0.32640432750067827,0.03895851940236741,7.094836552846049,False
learner_misspecification_v1,14,3791717872,success,0.2919730134582649,0.03796542240592215,6.373510371387835,False
learner_misspecification_v1,15,3370454250,success,0.3305515928424156,0.04387432027537136,6.394437362939658,False
learner_misspecification_v1,16,4233628635,success,0.05739609454142531,0.07857204266460865,0.09413137663985847,False
learner_misspecification_v1,17,2041850625,success,0.3696228590635117,0.05363235006165072,5.959516200504048,False
learner_misspecification_v1,18,2248595053,success,0.2878537422639385,0.07961317353593948,2.9876178991478723,False
learner_misspecification_v1,19,2299831653,success,0.275065143012578,0.08840517097961328,2.5458368613356255,False
