sample_size,variables,arm,replications,false_inclusion_rate,expected_false_edges,strong_recovery,blank_given_strong_truth,explore_matched_recovery,baseline_matched_recovery,matched_gain,runtime_seconds,precision,weak_recovery,unconditional_blank,jaccard_median,both_blank_rate,jaccard_strong,jaccard_weak,jaccard_nonedge,disagreement_share_strong,disagreement_share_weak,disagreement_share_nonedge,pass_1a,pass_1b,pass_2,pass_3,pass_4,pass_5,eligible
150,8,linear,500,0.012529663891768482,0.226,0.9593333333333333,0.0,0.9683333333333333,0.938,0.030333333333333323,1.0965455275000409,0.9688365079365079,0.4832030747030747,0.0,0.6666666666666666,0.0,1.0,0.6,0.0,0.0531711600041318,0.7791808697448611,0.1676479702510071,True,True,True,True,True,True,True
150,9,linear,500,0.005021201729027816,0.116,0.955,0.0,0.9855,0.9816666666666667,0.0038333333333333552,1.3101926144999538,0.9839310023310023,0.40415816405816407,0.0,0.6,0.0,1.0,0.5,0.0,0.05932211727666272,0.870038862652499,0.07063902007083826,True,True,True,True,True,True,True
150,10,linear,500,0.0030416364357565362,0.092,0.9222666666666667,0.0,0.9757666666666667,0.9712666666666666,0.0045000000000000595,1.4626186755000674,0.9884212842712843,0.3344405733155733,0.0,0.5555555555555556,0.0,1.0,0.42857142857142855,0.0,0.0665692713867156,0.8904391641714158,0.042991564441868704,True,True,True,True,True,True,True
50,6,nonlinear,500,0.003925252525252525,0.042,0.376,0.27,0.6556666666666667,0.629,0.026666666666666727,0.32306640049998236,0.9627853881278537,0.06866666666666667,0.27,0.0,0.086,0.0,0.0,0.0,0.7743162393162394,0.15388888888888888,0.07179487179487179,True,True,False,False,True,True,False
50,7,nonlinear,500,0.014459107232636643,0.206,0.5856666666666668,0.058,0.6733333333333332,0.5301666666666667,0.14316666666666655,0.7449791570001025,0.9167728237791932,0.14795714285714284,0.058,0.25,0.004,0.5,0.0,0.0,0.4317375886524822,0.39900709219858155,0.16925531914893616,True,True,False,True,True,True,False
50,8,nonlinear,500,0.026829120760709802,0.496,0.688,0.01,0.6835,0.5823333333333334,0.10116666666666663,1.2270597465001174,0.8649350649350649,0.21098593073593072,0.01,0.2928571428571428,0.0,0.5,0.0,0.0,0.23731449219254097,0.5107263840495547,0.25195912375790425,True,True,True,True,True,True,True
50,9,nonlinear,500,0.015471027316289685,0.374,0.5908333333333333,0.026,0.7401666666666666,0.672,0.0681666666666666,1.6750792949999322,0.8775056223721521,0.13465629925629927,0.026,0.25,0.002,0.5,0.0,0.0,0.27818823152156485,0.5260549943883278,0.19575677409010742,True,True,False,True,True,True,False
50,10,nonlinear,500,0.009990468277006425,0.308,0.47719999999999996,0.054,0.6440333333333333,0.5886999999999999,0.055333333333333456,2.465080868500081,0.877901943018222,0.09831961371961372,0.054,0.16666666666666666,0.008,0.3333333333333333,0.0,0.0,0.299891998036328,0.5228767795778104,0.17723122238586156,True,True,False,True,True,True,False
75,6,nonlinear,500,0.003242424242424243,0.034,0.5231666666666668,0.14,0.7561666666666667,0.6921666666666666,0.06400000000000006,0.25513153299998237,0.976937984496124,0.10366666666666666,0.14,0.3333333333333333,0.038,0.5,0.0,0.0,0.7189814814814814,0.2428451178451178,0.038173400673400665,True,True,False,False,True,True,False
75,7,nonlinear,500,0.016573892120950943,0.234,0.7606666666666666,0.006,0.8025,0.6153333333333333,0.1871666666666667,0.5154003814999442,0.9308948931685349,0.22734761904761905,0.006,0.4,0.0,0.5,0.0,0.0,0.31129785247432307,0.5223415292042742,0.16636061832140264,True,True,True,True,True,True,True
75,8,nonlinear,500,0.02457887351390178,0.454,0.8306666666666667,0.002,0.8195,0.6726666666666667,0.14683333333333326,1.0649188589998175,0.9002528867258326,0.28420223665223665,0.002,0.4,0.0,1.0,0.25,0.0,0.14569850928877298,0.6252100840336133,0.22909140667761355,True,True,True,True,True,True,True
75,9,nonlinear,500,0.013823964897892933,0.334,0.7575,0.002,0.8695,0.8052666666666667,0.06423333333333336,1.6338659580000012,0.918350987689665,0.19849586524586524,0.002,0.3333333333333333,0.0,0.5,0.0,0.0,0.17182859059116604,0.6555603462042093,0.17261106320462455,True,True,True,True,True,True,True
75,10,nonlinear,500,0.008341107369060815,0.256,0.7115,0.006,0.8596666666666667,0.7273333333333333,0.1323333333333334,1.6890784309999844,0.9326698284947783,0.14038192363192362,0.006,0.2857142857142857,0.0,0.5,0.0,0.0,0.1964930958833398,0.6734006000774293,0.13010630403923085,True,True,True,True,True,True,True
100,6,nonlinear,500,0.00317979797979798,0.034,0.6626666666666666,0.072,0.839,0.7468333333333332,0.09216666666666673,0.30023167199998113,0.9865301724137931,0.14216666666666666,0.072,0.5,0.02,0.5,0.0,0.0,0.6477947413061917,0.3063189143341815,0.045886344359626796,True,True,True,True,True,True,True
100,7,nonlinear,500,0.012349464914170796,0.178,0.8563333333333334,0.004,0.8871666666666667,0.7161666666666666,0.17100000000000004,0.7592855299999997,0.9542168674698795,0.2930214285714286,0.004,0.5,0.0,1.0,0.0,0.0,0.2251238499646143,0.6435244161358812,0.13135173389950458,True,True,True,True,True,True,True
100,8,nonlinear,500,0.02112868251384875,0.392,0.9126666666666666,0.0,0.8908333333333333,0.7285,0.16233333333333322,1.037542751500041,0.9273777777777777,0.35115642135642133,0.0,0.5,0.0,1.0,0.3333333333333333,0.0,0.09001564718028132,0.6767566782810684,0.23322767453865015,True,True,True,True,True,True,True
100,9,nonlinear,500,0.014121811321001725,0.338,0.8655,0.0,0.934,0.8048333333333333,0.12916666666666676,1.3384359625001707,0.9341380952380953,0.24504810744810743,0.0,0.42857142857142855,0.0,1.0,0.25,0.0,0.11665381402223507,0.7275882012724119,0.1557579847053531,True,True,True,True,True,True,True
100,10,nonlinear,500,0.009519212776289265,0.296,0.8268333333333333,0.0,0.915,0.8171666666666666,0.09783333333333344,1.8247117800001433,0.937052380952381,0.17507766677766676,0.0,0.375,0.0,1.0,0.16666666666666666,0.0,0.14667869167869166,0.7034840468173802,0.14983726150392815,True,True,True,True,True,True,True
125,6,nonlinear,500,0.002171717171717172,0.022,0.7073333333333333,0.054,0.8745,0.8165,0.05800000000000005,0.303799319999996,0.992600422832981,0.18133333333333332,0.054,0.5,0.0,0.5,0.0,0.0,0.6295780590717299,0.3345569620253164,0.035864978902953586,True,True,True,True,True,True,True
125,7,nonlinear,500,0.011595924010629893,0.166,0.8821666666666668,0.0,0.9178333333333334,0.7245,0.19333333333333336,0.7475384614999143,0.9613619047619048,0.3356619047619048,0.0,0.5,0.0,1.0,0.3333333333333333,0.0,0.1792391304347826,0.6836904761904762,0.13707039337474117,True,True,True,True,True,True,True
125,8,nonlinear,500,0.021309890974627144,0.402,0.9506666666666667,0.0,0.9453333333333332,0.7861666666666667,0.15916666666666657,0.6727978340000647,0.9306069264069264,0.3940563492063492,0.0,0.5555555555555556,0.0,1.0,0.4,0.0,0.0595254391968971,0.7208198885303608,0.21965467227274205,True,True,True,True,True,True,True
125,9,nonlinear,500,0.01128598685443102,0.274,0.9206666666666667,0.0,0.9701666666666667,0.8962666666666667,0.07390000000000008,1.2076454235001393,0.9487603174603175,0.29653118548118546,0.0,0.5,0.0,1.0,0.3333333333333333,0.0,0.08141439327270948,0.7737451517225644,0.14484045500472606,True,True,True,True,True,True,True
125,10,nonlinear,500,0.007077719103225384,0.218,0.8783333333333333,0.0,0.9504999999999999,0.8465,0.10399999999999987,1.746059965999848,0.9570015873015874,0.21829788544788545,0.0,0.42857142857142855,0.0,1.0,0.25,0.0,0.10299262465929133,0.7908385441718775,0.10616883116883118,True,True,True,True,True,True,True
150,6,nonlinear,500,0.0028424242424242427,0.03,0.764,0.03,0.8946666666666667,0.83,0.06466666666666676,0.3087945515000001,0.9904810996563573,0.213,0.03,0.5,0.004,0.6666666666666666,0.0,0.0,0.5597816960537363,0.3929051217464316,0.04731318219983207,True,True,True,True,True,True,True
150,7,nonlinear,500,0.014135170548405842,0.2,0.921,0.002,0.9465,0.7845,0.16200000000000003,0.7466964270000176,0.958171104112988,0.3708619047619047,0.002,0.6,0.0,1.0,0.3333333333333333,0.0,0.12472486772486772,0.7087089947089946,0.16656613756613758,True,True,True,True,True,True,True
150,8,nonlinear,500,0.021042167735272458,0.392,0.9691666666666666,0.0,0.9723333333333333,0.818,0.15433333333333332,0.9957340594998243,0.9378442279942281,0.45183174603174603,0.0,0.5714285714285714,0.0,1.0,0.5,0.0,0.04895307395307395,0.6906568656568656,0.26039006039006035,True,True,True,True,True,True,True
150,9,nonlinear,500,0.012936553850946653,0.318,0.9458333333333333,0.0,0.9788333333333333,0.9051666666666667,0.07366666666666666,0.9366301829999202,0.9490267676767676,0.3439276112776113,0.0,0.5,0.0,1.0,0.3333333333333333,0.0,0.05114478114478115,0.7885930735930735,0.16026214526214527,True,True,True,True,True,True,True
150,10,nonlinear,500,0.008943639623521682,0.274,0.9368333333333333,0.0,0.9761666666666667,0.8956666666666666,0.08050000000000013,1.1297645105000242,0.9535539682539681,0.26637784992784996,0.0,0.5,0.0,1.0,0.3333333333333333,0.0,0.06475162264635947,0.8216703618019408,0.11357801555169976,True,True,True,True,True,True,True
