edge_strength,delta,k,correct_prune_rate,wrongful_prune_rate,strong_wrongful_prune_rate_040,strong_wrongful_prune_rate_060,familywise_wrongful_rate,unresolved_rate,candidate_adjacency_rate,practical_absent,practical_present,strong_present_040,strong_present_060,replications
strong,0.05,7,0.6747578347578348,0.016231884057971015,0.013756613756613757,0.002008032128514056,0.25,0.32142857142857145,0.112,8775,1725,945,498,100
strong,0.05,8,0.6626780626780627,0.01565217391304348,0.013756613756613757,0.002008032128514056,0.25,0.33161904761904765,0.112,8775,1725,945,498,100
strong,0.05,9,0.6540170940170941,0.01565217391304348,0.013756613756613757,0.002008032128514056,0.25,0.33885714285714286,0.112,8775,1725,945,498,100
strong,0.05,10,0.6425071225071225,0.014492753623188406,0.013756613756613757,0.002008032128514056,0.23,0.3486666666666667,0.112,8775,1725,945,498,100
strong,0.05,11,0.6218803418803419,0.013333333333333334,0.012698412698412698,0.002008032128514056,0.21,0.3660952380952381,0.112,8775,1725,945,498,100
strong,0.05,12,0.5892877492877493,0.006956521739130435,0.008465608465608466,0.0,0.12,0.3943809523809524,0.112,8775,1725,945,498,100
strong,0.05,13,0.521025641025641,0.002898550724637681,0.004232804232804233,0.0,0.05,0.4520952380952381,0.112,8775,1725,945,498,100
strong,0.05,14,0.3680911680911681,0.0,0.0,0.0,0.0,0.5803809523809523,0.112,8775,1725,945,498,100
strong,0.1,1,0.9954586739327884,0.33747044917257685,0.18306878306878308,0.10240963855421686,1.0,0.042,0.06857142857142857,8808,1692,945,498,100
strong,0.1,2,0.9423251589464123,0.1483451536643026,0.06349206349206349,0.02610441767068273,0.86,0.11780952380952381,0.0678095238095238,8808,1692,945,498,100
strong,0.1,3,0.8834014532243415,0.06973995271867613,0.03492063492063492,0.010040160642570281,0.63,0.1799047619047619,0.0678095238095238,8808,1692,945,498,100
strong,0.1,4,0.8369663941871026,0.051418439716312055,0.02857142857142857,0.006024096385542169,0.53,0.22180952380952382,0.0678095238095238,8808,1692,945,498,100
strong,0.1,5,0.8008628519527702,0.0384160756501182,0.02433862433862434,0.004016064257028112,0.44,0.2541904761904762,0.0678095238095238,8808,1692,945,498,100
strong,0.1,6,0.7763396911898274,0.031323877068557916,0.02328042328042328,0.004016064257028112,0.38,0.27590476190476193,0.0678095238095238,8808,1692,945,498,100
strong,0.1,7,0.7579473206176204,0.02955082742316785,0.02328042328042328,0.004016064257028112,0.35,0.2916190476190476,0.0678095238095238,8808,1692,945,498,100
strong,0.1,8,0.745685740236149,0.027777777777777776,0.022222222222222223,0.004016064257028112,0.34,0.3021904761904762,0.0678095238095238,8808,1692,945,498,100
strong,0.1,9,0.7346730245231607,0.02541371158392435,0.021164021164021163,0.004016064257028112,0.33,0.3118095238095238,0.0678095238095238,8808,1692,945,498,100
strong,0.1,10,0.7233197093551317,0.024231678486997636,0.01904761904761905,0.004016064257028112,0.32,0.32152380952380955,0.0678095238095238,8808,1692,945,498,100
strong,0.1,11,0.7106039963669392,0.022458628841607566,0.016931216931216932,0.004016064257028112,0.29,0.3325714285714286,0.06771428571428571,8808,1692,945,498,100
strong,0.1,12,0.6840372388737511,0.016548463356973995,0.012698412698412698,0.002008032128514056,0.24,0.3558095238095238,0.06771428571428571,8808,1692,945,498,100
strong,0.1,13,0.6345367847411444,0.008865248226950355,0.005291005291005291,0.0,0.14,0.3985714285714286,0.06771428571428571,8808,1692,945,498,100
strong,0.1,14,0.49920526793823794,0.0,0.0,0.0,0.0,0.5135238095238095,0.06771428571428571,8808,1692,945,498,100
strong,0.2,1,0.9986611625571795,0.6636304489264802,0.5619047619047619,0.4598393574297189,1.0,0.022476190476190476,0.027904761904761904,8963,1537,945,498,100
strong,0.2,2,0.9815909851612183,0.37996096291476905,0.24126984126984127,0.1465863453815261,1.0,0.07904761904761905,0.027428571428571427,8963,1537,945,498,100
strong,0.2,3,0.9535869686488899,0.22381262199089136,0.11746031746031746,0.05622489959839357,0.97,0.1259047619047619,0.027333333333333334,8963,1537,945,498,100
strong,0.2,4,0.9235746959723307,0.13858165256994145,0.07724867724867725,0.02610441767068273,0.87,0.164,0.027333333333333334,8963,1537,945,498,100
strong,0.2,5,0.8965748075421176,0.09954456733897202,0.06243386243386243,0.02208835341365462,0.73,0.19276190476190477,0.027333333333333334,8963,1537,945,498,100
strong,0.2,6,0.8755996876045967,0.07351984385165908,0.05714285714285714,0.018072289156626505,0.57,0.2144761904761905,0.027333333333333334,8963,1537,945,498,100
strong,0.2,7,0.8633270110454089,0.06180871828236825,0.056084656084656084,0.018072289156626505,0.52,0.22666666666666666,0.027333333333333334,8963,1537,945,498,100
strong,0.2,8,0.8530625906504519,0.05595315549772284,0.056084656084656084,0.018072289156626505,0.48,0.2362857142857143,0.027333333333333334,8963,1537,945,498,100
strong,0.2,9,0.8424634608947897,0.05204944697462589,0.05291005291005291,0.01606425702811245,0.46,0.2459047619047619,0.027333333333333334,8963,1537,945,498,100
strong,0.2,10,0.8307486332701105,0.0468445022771633,0.04656084656084656,0.014056224899598393,0.45,0.25666666666666665,0.027333333333333334,8963,1537,945,498,100
strong,0.2,11,0.8207073524489569,0.04098893949251789,0.04126984126984127,0.012048192771084338,0.41,0.2660952380952381,0.027333333333333334,8963,1537,945,498,100
strong,0.2,12,0.8024099073970768,0.03318152244632401,0.0328042328042328,0.008032128514056224,0.36,0.28285714285714286,0.027333333333333334,8963,1537,945,498,100
strong,0.2,13,0.7721744951467143,0.020169160702667534,0.01798941798941799,0.004016064257028112,0.23,0.31057142857142855,0.027333333333333334,8963,1537,945,498,100
strong,0.2,14,0.6781211647885752,0.0,0.0,0.0,0.0,0.39380952380952383,0.027333333333333334,8963,1537,945,498,100
