family,edge_strength,n,reference_delta,method,setting,replications,false_prunes,true_prunes,edges,nonedges,moral_only,familywise_errors,practical_false_prunes,practical_true_prunes,practical_present,practical_absent,practical_familywise_errors,false_prune_rate,true_prune_rate,moral_graph_prune_ceiling,practical_false_prune_rate,practical_true_prune_rate,familywise_error_rate,practical_familywise_error_rate,practical_familywise_upper_bound,familywise_upper_bound
additive_nonlinear,realistic,375,0.2,pc,0.001,100,624,8668,1762,8738,839,100,337,8955,932,9568,98,0.35414301929625425,0.9919890135042344,0.9039826047150378,0.361587982832618,0.9359322742474916,1.0,0.98,0.9918560999260562,0.9994922745363412
additive_nonlinear,realistic,375,0.2,pc,0.005,100,603,8644,1762,8738,839,100,331,8916,932,9568,98,0.3422247446083995,0.9892423895628291,0.9039826047150378,0.3551502145922747,0.9318561872909699,1.0,0.98,0.9918560999260562,0.9994922745363412
additive_nonlinear,realistic,375,0.2,pc,0.01,100,596,8618,1762,8738,839,100,329,8885,932,9568,98,0.33825198637911463,0.9862668802929733,0.9039826047150378,0.3530042918454936,0.928616220735786,1.0,0.98,0.9918560999260562,0.9994922745363412
additive_nonlinear,realistic,375,0.2,pc,0.05,100,565,8475,1762,8738,839,100,310,8730,932,9568,97,0.3206583427922815,0.9699015793087663,0.9039826047150378,0.33261802575107297,0.9124163879598662,1.0,0.97,0.986360919608504,0.9994922745363412
additive_nonlinear,realistic,375,0.2,pc,0.1,100,528,8291,1762,8738,839,100,289,8530,932,9568,95,0.2996594778660613,0.9488441290913252,0.9039826047150378,0.31008583690987124,0.8915133779264214,1.0,0.95,0.9738153751817129,0.9994922745363412
additive_nonlinear,realistic,375,0.2,pc,0.2,100,488,7920,1762,8738,839,100,268,8140,932,9568,94,0.27695800227014755,0.9063859006637675,0.9039826047150378,0.2875536480686695,0.850752508361204,1.0,0.94,0.967022531671149,0.9994922745363412
additive_nonlinear,realistic,375,0.2,renca,0.2,100,133,7217,1762,8738,839,71,14,7336,932,9568,13,0.07548240635641316,0.8259327077134355,0.9039826047150378,0.015021459227467811,0.7667224080267558,0.71,0.13,0.1968308450855157,0.7774032632918011
additive_nonlinear,strong,375,0.05,conservative_pc,0.05,100,522,8387,1733,8767,572,100,521,8388,1727,8773,100,0.30121177149451817,0.9566556404699441,0.9347553324968633,0.301679212507238,0.9561153539268209,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,strong,375,0.05,ebicglasso,0.0,100,393,6789,1733,8767,572,98,392,6790,1727,8773,98,0.2267743796884016,0.7743812022356564,0.9347553324968633,0.22698320787492762,0.7739655761997036,0.98,0.98,0.9918560999260562,0.9918560999260562
additive_nonlinear,strong,375,0.05,ebicglasso,0.25,100,415,6913,1733,8767,572,98,414,6914,1727,8773,98,0.23946912867859205,0.7885251511349378,0.9347553324968633,0.23972206137811233,0.7880998518180782,0.98,0.98,0.9918560999260562,0.9918560999260562
additive_nonlinear,strong,375,0.05,ebicglasso,0.5,100,427,7024,1733,8767,572,99,426,7025,1727,8773,99,0.2463935372186959,0.8011862666818752,0.9347553324968633,0.246670526925304,0.8007523082183974,0.99,0.99,0.9964702598558379,0.9964702598558379
additive_nonlinear,strong,375,0.05,ebicglasso,1.0,100,446,7131,1733,8767,572,100,445,7132,1727,8773,100,0.2573571840738604,0.8133911258127068,0.9347553324968633,0.2576722640416908,0.8129488202439302,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,strong,375,0.05,fci,0.001,100,572,8603,1733,8767,572,100,571,8604,1727,8773,100,0.33006347374495093,0.9812934869396601,0.9347553324968633,0.33063115228720324,0.9807363501652798,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,strong,375,0.05,fci,0.005,100,554,8570,1733,8767,572,100,553,8571,1727,8773,100,0.31967686093479514,0.9775293715067868,0.9347553324968633,0.32020845396641573,0.976974809073293,1.0,1.0,0.9994922745363412,0.9994922745363412
