sample_size,variables,arm,replications,false_inclusion_rate,expected_false_edges,strong_recovery,blank_given_strong_truth,explore_matched_recovery,baseline_matched_recovery,matched_gain,runtime_seconds,precision,weak_recovery,unconditional_blank,jaccard_median,both_blank_rate,pass_1a,pass_1b,pass_2,pass_3,pass_4,pass_5,eligible
100,6,linear,500,0.0017484848484848486,0.018,0.8113666666666667,0.018,0.9528333333333333,0.9506666666666667,0.00216666666666665,0.2924006130000123,0.9958927359131026,0.238,0.018,0.6666666666666666,0.004,True,True,True,True,True,True,True
100,7,linear,500,0.0036325507825507824,0.05,0.8425666666666666,0.0,0.9321999999999999,0.9198666666666667,0.012333333333333196,0.38006014649998576,0.9886809523809523,0.30483095238095237,0.0,0.6,0.0,True,True,True,True,True,True,True
100,8,linear,500,0.014528385629267308,0.264,0.8994333333333333,0.0,0.9095,0.8971,0.012399999999999967,1.1097016894999285,0.9563428571428572,0.3663184593184593,0.0,0.5714285714285714,0.0,True,True,True,True,True,True,True
100,9,linear,500,0.0057932294436642265,0.136,0.8691,0.0,0.9546333333333333,0.9646333333333333,-0.010000000000000009,1.1113273619999973,0.9770428571428572,0.2903521922521923,0.0,0.5,0.0,True,True,True,True,True,True,True
100,10,linear,500,0.00346346975265687,0.104,0.8029333333333333,0.0,0.9403333333333334,0.9401666666666667,0.0001666666666666483,1.2539503054999273,0.9822412698412698,0.22987679314149903,0.0,0.42857142857142855,0.0,True,True,True,True,True,True,True
125,6,linear,500,0.0022939393939393937,0.024,0.8723333333333333,0.006,0.969,0.9715,-0.0025000000000000577,0.2816043880000052,0.9942655935613681,0.2856666666666666,0.006,0.75,0.0,True,True,True,True,True,True,True
125,7,linear,500,0.006236071934601346,0.088,0.9056666666666667,0.0,0.9563333333333334,0.9405,0.015833333333333366,0.5490080905000099,0.982734126984127,0.38687380952380956,0.0,0.6666666666666666,0.0,True,True,True,True,True,True,True
125,8,linear,500,0.01560436165104694,0.28,0.9430333333333333,0.0,0.9616333333333333,0.9299333333333334,0.03169999999999995,1.0544240879999052,0.9581238095238095,0.4293033189033189,0.0,0.6,0.0,True,True,True,True,True,True,True
125,9,linear,500,0.0051455525633786504,0.12,0.9155333333333333,0.0,0.9705999999999999,0.9629333333333333,0.0076666666666665995,1.0619149730000004,0.9820111111111112,0.34540658785658784,0.0,0.5714285714285714,0.0,True,True,True,True,True,True,True
125,10,linear,500,0.002314564108303067,0.068,0.9133333333333332,0.0,0.9806666666666666,0.9748333333333332,0.005833333333333357,1.4718123755000647,0.9880777777777778,0.27945158975011913,0.0,0.5,0.0,True,True,True,True,True,True,True
150,6,linear,500,0.002478787878787879,0.026,0.9238333333333334,0.0,0.9838333333333332,0.974,0.00983333333333325,0.29750365700002135,0.9945333333333333,0.3438333333333334,0.0,0.75,0.0,True,True,True,True,True,True,True
150,7,linear,500,0.0075356284238637175,0.108,0.9435666666666667,0.0,0.9807,0.9533333333333333,0.02736666666666676,0.5481537540000545,0.9785119047619049,0.44510476190476184,0.0,0.75,0.0,True,True,True,True,True,True,True
150,8,linear,500,0.012529663891768482,0.226,0.9593333333333333,0.0,0.9683333333333333,0.938,0.030333333333333323,0.9313995070000658,0.9688365079365079,0.4832030747030747,0.0,0.6666666666666666,0.0,True,True,True,True,True,True,True
150,9,linear,500,0.005021201729027816,0.116,0.955,0.0,0.9855,0.9816666666666667,0.0038333333333333552,1.2912032354999496,0.9839310023310023,0.40415816405816407,0.0,0.6,0.0,True,True,True,True,True,True,True
150,10,linear,500,0.0030416364357565362,0.092,0.9222666666666667,0.0,0.9757666666666667,0.9712666666666666,0.0045000000000000595,1.218754433499896,0.9884212842712843,0.33497623765123763,0.0,0.5555555555555556,0.0,True,True,True,True,True,True,True
50,6,nonlinear,500,0.003925252525252525,0.042,0.377,0.264,0.6541666666666668,0.629,0.02516666666666678,0.15310122250001257,0.9630887681159419,0.07,0.264,0.0,0.082,True,True,False,False,True,True,False
50,7,nonlinear,500,0.014459107232636643,0.206,0.5856666666666668,0.058,0.6733333333333332,0.5301666666666667,0.14316666666666655,0.7537914575000144,0.9167728237791932,0.14795714285714284,0.058,0.25,0.004,True,True,False,True,True,True,False
50,8,nonlinear,500,0.026829120760709802,0.496,0.688,0.01,0.6835,0.5823333333333334,0.10116666666666663,1.4692625045000796,0.8649350649350649,0.21098593073593072,0.01,0.2928571428571428,0.0,True,True,True,True,True,True,True
50,9,nonlinear,500,0.015471027316289685,0.374,0.5908333333333333,0.026,0.7401666666666666,0.672,0.0681666666666666,1.6734533690000717,0.8775056223721521,0.13465629925629927,0.026,0.25,0.002,True,True,False,True,True,True,False
50,10,nonlinear,500,0.009990468277006425,0.308,0.47719999999999996,0.054,0.6440333333333333,0.5886999999999999,0.055333333333333456,2.5081738295004925,0.877901943018222,0.09831961371961372,0.054,0.16666666666666666,0.008,True,True,False,True,True,True,False
75,6,nonlinear,500,0.003242424242424243,0.034,0.5231666666666668,0.14,0.7561666666666667,0.6921666666666666,0.06400000000000006,0.3067789080000125,0.976937984496124,0.10366666666666666,0.14,0.3333333333333333,0.038,True,True,False,False,True,True,False
75,7,nonlinear,500,0.016573892120950943,0.234,0.7616666666666666,0.006,0.8015,0.6153333333333333,0.1861666666666667,0.6614814784999794,0.9308948931685349,0.22532857142857143,0.006,0.4,0.0,True,True,True,True,True,True,True
75,8,nonlinear,500,0.02457887351390178,0.454,0.8306666666666667,0.002,0.8195,0.6726666666666667,0.14683333333333326,1.2693233919998193,0.9002528867258326,0.28420223665223665,0.002,0.4,0.0,True,True,True,True,True,True,True
75,9,nonlinear,500,0.013823964897892933,0.334,0.7575,0.002,0.8695,0.8052666666666667,0.06423333333333336,1.6130512544999647,0.918350987689665,0.19849586524586524,0.002,0.3333333333333333,0.0,True,True,True,True,True,True,True
75,10,nonlinear,500,0.008341107369060815,0.256,0.7115,0.006,0.8596666666666667,0.7273333333333333,0.1323333333333334,1.940866157500011,0.9326698284947783,0.14038192363192362,0.006,0.2857142857142857,0.0,True,True,True,True,True,True,True
100,6,nonlinear,500,0.00317979797979798,0.034,0.664,0.072,0.8376666666666668,0.7468333333333332,0.09083333333333354,0.2498163774999682,0.9865301724137931,0.14116666666666666,0.072,0.5,0.02,True,True,True,True,True,True,True
100,7,nonlinear,500,0.012349464914170796,0.178,0.8563333333333334,0.004,0.8871666666666667,0.7161666666666666,0.17100000000000004,0.3549399614998947,0.9542168674698795,0.29268809523809525,0.004,0.5,0.0,True,True,True,True,True,True,True
100,8,nonlinear,500,0.02112868251384875,0.392,0.9126666666666666,0.0,0.8908333333333333,0.7285,0.16233333333333322,1.2577872914999944,0.9273777777777777,0.35115642135642133,0.0,0.5,0.0,True,True,True,True,True,True,True
100,9,nonlinear,500,0.014121811321001725,0.338,0.8655,0.0,0.934,0.8048333333333333,0.12916666666666676,1.556084758000111,0.9341380952380953,0.24504810744810743,0.0,0.42857142857142855,0.0,True,True,True,True,True,True,True
100,10,nonlinear,500,0.009519212776289265,0.296,0.8261666666666667,0.0,0.914,0.8171666666666666,0.09683333333333344,0.8669364405000124,0.9371,0.17507766677766676,0.0,0.375,0.0,True,True,True,True,True,True,True
125,6,nonlinear,500,0.002171717171717172,0.022,0.7073333333333333,0.054,0.8745,0.8165,0.05800000000000005,0.2995062709999843,0.992600422832981,0.18133333333333332,0.054,0.5,0.0,True,True,True,True,True,True,True
125,7,nonlinear,500,0.011595924010629893,0.166,0.8821666666666668,0.0,0.9178333333333334,0.7245,0.19333333333333336,0.7385356404999186,0.9613619047619048,0.3356619047619048,0.0,0.5,0.0,True,True,True,True,True,True,True
125,8,nonlinear,500,0.021309890974627144,0.402,0.9506666666666667,0.0,0.9453333333333332,0.7861666666666667,0.15916666666666657,0.7864698850000593,0.9306069264069264,0.3940563492063492,0.0,0.5555555555555556,0.0,True,True,True,True,True,True,True
125,9,nonlinear,500,0.01128598685443102,0.274,0.9206666666666667,0.0,0.9701666666666667,0.8962666666666667,0.07390000000000008,1.4187486465000347,0.9487603174603175,0.29653118548118546,0.0,0.5,0.0,True,True,True,True,True,True,True
125,10,nonlinear,500,0.007077719103225384,0.218,0.8783333333333333,0.0,0.9504999999999999,0.8465,0.10399999999999987,1.1446687580000798,0.9570015873015874,0.21829788544788545,0.0,0.42857142857142855,0.0,True,True,True,True,True,True,True
150,6,nonlinear,500,0.0028424242424242427,0.03,0.763,0.03,0.893,0.83,0.06300000000000006,0.14268482150001205,0.9904810996563573,0.213,0.03,0.5,0.004,True,True,True,True,True,True,True
150,7,nonlinear,500,0.014135170548405842,0.2,0.921,0.002,0.9465,0.7845,0.16200000000000003,0.736567910999895,0.958171104112988,0.3708619047619047,0.002,0.6,0.0,True,True,True,True,True,True,True
150,8,nonlinear,500,0.021042167735272458,0.392,0.9691666666666666,0.0,0.9723333333333333,0.818,0.15433333333333332,1.1786138565000783,0.9378442279942281,0.45183174603174603,0.0,0.5714285714285714,0.0,True,True,True,True,True,True,True
150,9,nonlinear,500,0.012936553850946653,0.318,0.9458333333333333,0.0,0.9788333333333333,0.9051666666666667,0.07366666666666666,1.4475644334997924,0.9489267676767676,0.3431942779442779,0.0,0.5,0.0,True,True,True,True,True,True,True
150,10,nonlinear,500,0.008943639623521682,0.274,0.9368333333333333,0.0,0.9761666666666667,0.8956666666666666,0.08050000000000013,1.1217784555001344,0.9535539682539681,0.26637784992784996,0.0,0.5,0.0,True,True,True,True,True,True,True
