strategy,replicate,full_worse,risk_gap
repeated_selection,29,False,-0.005169596186836545
repeated_selection,30,True,0.014476764021808641
repeated_selection,31,False,-0.02812535971818897
repeated_selection,32,False,-0.06959763390908402
repeated_selection,33,True,0.002378982800197438
repeated_selection,34,True,0.0075599727191935084
repeated_selection,35,False,-0.07725521448201111
repeated_selection,36,False,-0.05725862136826776
repeated_selection,37,False,-0.04368441534346479
repeated_selection,38,True,0.014314005133088337
repeated_selection,39,False,-0.0052113766605679235
repeated_selection,40,False,-0.08467374608474243
repeated_selection,41,False,-0.06607789816254561
repeated_selection,42,False,-0.00848383334481495
repeated_selection,43,True,0.023426315471481662
repeated_selection,44,False,-0.0022286187705554683
repeated_selection,45,False,-0.07213068829618519
repeated_selection,46,False,-0.045569689112797906
repeated_selection,47,False,-0.005801789340259322
repeated_selection,48,False,-0.062085100081031075
repeated_selection,49,False,-0.06842592315358909
repeated_selection,50,True,0.0022834852600936983
repeated_selection,51,False,-0.017414677049190974
repeated_selection,52,True,0.01021700751879917
repeated_selection,53,False,-0.021173992761833516
repeated_selection,54,False,-0.06664930974540617
repeated_selection,55,False,-0.022972316938239645
repeated_selection,56,True,0.029385897409279105
repeated_selection,57,False,-0.0037880312422073903
repeated_selection,58,False,-0.06092803936940516
repeated_selection,59,False,-0.026294781901442743
repeated_selection,60,False,-0.008772677139119223
repeated_selection,61,False,-0.014619006960564063
repeated_selection,62,False,-0.022957078651813623
repeated_selection,63,True,0.0010791259857243496
repeated_selection,64,False,-0.020805540809640366
repeated_selection,65,False,-0.0797204317605914
repeated_selection,66,False,-0.042206446480139936
repeated_selection,67,False,-0.006742891257137673
repeated_selection,68,True,0.0019844410597443796
repeated_selection,69,False,-0.08762206280161478
repeated_selection,70,False,-0.018512491950362087
repeated_selection,71,False,-0.05603015431823777
repeated_selection,72,False,-0.04725618138761456
repeated_selection,73,False,-0.0029646423978855196
repeated_selection,74,True,0.007451856581559113
repeated_selection,75,True,0.01825088185807089
repeated_selection,76,False,-0.019113637998698474
repeated_selection,77,True,0.011585679308588892
repeated_selection,78,False,-0.05034569781641096
repeated_selection,79,False,-0.053011942878198326
repeated_selection,80,False,-0.003678376006919115
repeated_selection,81,False,-0.09678889340366847
repeated_selection,82,True,0.037611082966617415
repeated_selection,83,False,-0.04937136088753746
repeated_selection,84,False,-0.056433054195698995
repeated_selection,85,False,-0.0542588755774871
repeated_selection,86,False,-0.09916729795348966
repeated_selection,87,False,-0.007065112873583468
repeated_selection,88,True,0.02622750041825539
repeated_selection,89,False,-0.09182901795834653
repeated_selection,90,True,0.003929226292245236
repeated_selection,91,False,-0.034316766438113655
repeated_selection,92,False,-0.03674309345373783
repeated_selection,93,False,-0.01637703770727983
repeated_selection,94,False,-0.06412172034265318
repeated_selection,95,False,-0.0188458307122521
repeated_selection,96,False,-0.030735646842620534
repeated_selection,97,False,-0.05057007233228106
repeated_selection,98,False,-0.019881859423883208
repeated_selection,99,False,-0.0800772750950427
blend,0,False,-0.014349606158767791
blend,1,False,-0.05853698481126879
blend,2,False,-0.03218423789163749
blend,3,False,-0.0027120360730252813
blend,4,False,-0.015041017302125148
blend,5,False,-0.0562277016923739
blend,6,False,-0.020320682468610185
blend,7,False,-0.046460551327984434
blend,8,False,-0.09810625262209527
blend,9,False,-0.03610825829556652
blend,10,False,-0.026117811031178828
blend,11,False,-0.012035403555165969
blend,12,True,0.015678549028875444
blend,13,False,-0.013559512180162714
blend,14,True,0.00479240133039216
blend,15,False,-0.009312877703927303
blend,16,False,-0.04676210780683898
blend,17,False,-0.001938854622131947
blend,18,False,-0.032591636994204976
blend,19,True,0.0021055425248424076
blend,20,False,-0.03292494413707425
blend,21,False,-0.023453727164970073
blend,22,False,-0.035612703641248133
blend,23,False,-0.013655054108334896
blend,24,False,-0.07610152410197268
blend,25,False,-0.014880770844566849
blend,26,False,-0.019147354530438587
blend,27,False,-0.028888304205652915
blend,28,False,-0.06302278106800197
blend,29,False,-0.014055548765800951
blend,30,False,-0.00038923543017710394
blend,31,False,-0.01685295458581071
blend,32,False,-0.07282416344438203
blend,33,True,0.003745204022350457
blend,34,False,-0.013390012672477747
blend,35,False,-0.07450527681609265
blend,36,False,-0.06142522976592879
blend,37,False,-0.03443452461914198
blend,38,False,-0.023264109309031777
blend,39,False,-0.029953308868666095
blend,40,False,-0.07222544728754543
blend,41,False,-0.05066315535853927
blend,42,False,-0.02786356756569708
blend,43,True,0.0023175375317945335
blend,44,False,-0.009283165754298106
blend,45,False,-0.06282898894393729
blend,46,False,-0.033475041365879976
blend,47,False,-0.028840629864695044
blend,48,False,-0.06392089680604163
blend,49,False,-0.06550656214624795
blend,50,False,-0.014667769899877836
blend,51,False,-0.05182693018151685
blend,52,True,0.005970280529261851
blend,53,False,-0.018122196901276366
blend,54,False,-0.050836990329594434
blend,55,False,-0.02951424659211921
blend,56,True,0.004259971031844723
blend,57,False,-0.015329789873229638
blend,58,False,-0.08343078905613899
blend,59,False,-0.027737948333676377
blend,60,False,-0.03456044754759979
blend,61,False,-0.029926449037042335
blend,62,False,-0.02331078293944233
blend,63,False,-0.020212469170924896
blend,64,False,-0.0218730582550708
blend,65,False,-0.08359959764063585
blend,66,False,-0.058439843253598855
blend,67,False,-0.022092039647613637
blend,68,True,0.0037900291401742336
blend,69,False,-0.10003317219229635
blend,70,False,-0.031009886113720908
blend,71,False,-0.04224407032637423
blend,72,False,-0.03417185618797858
blend,73,False,-0.013837231610822287
blend,74,False,-0.044107794874058026
blend,75,True,0.009060863114406015
blend,76,False,-0.035120868832772656
blend,77,False,-0.005808349390576062
blend,78,False,-0.04266396096871483
blend,79,False,-0.04306501034904642
blend,80,False,-0.019703633036060708
blend,81,False,-0.08033466718316395
blend,82,True,0.019641889816749414
blend,83,False,-0.019778103720704987
blend,84,False,-0.0553528524156941
blend,85,False,-0.047742501057823294
blend,86,False,-0.10462053172800334
blend,87,False,-0.041287495908976846
blend,88,False,-0.010995566650702449
blend,89,False,-0.09499263469135588
blend,90,False,-0.01586770160024842
blend,91,False,-0.03230493608815199
blend,92,False,-0.043754417922370115
blend,93,False,-0.02042774773885725
blend,94,False,-0.045321708629653124
blend,95,False,-0.011682015390174216
blend,96,False,-0.019714462792612908
blend,97,False,-0.058599469198090004
blend,98,False,-0.019567531381836867
blend,99,False,-0.05248634960549503
