replicate,theta_hat,se_theta,z,z_bias_corrected,wald_reject,critical_reject,bias_corrected_reject
173,0.03867320432787073,0.01006616321044831,-1.1252346534946374,-1.0653104991668187,False,False,False
174,0.06068010985297595,0.011747261316856375,0.9091574252843808,0.9605061014942445,False,False,False
175,0.0417774401926057,0.010634320097399994,-0.7732097333993785,-0.7164871303380512,False,False,False
176,0.03986805088714185,0.009780055751324677,-1.0359807112025732,-0.974303525197758,False,False,False
177,0.027665910368874693,0.009116204013672908,-2.449933063984483,-2.383764479252593,True,True,True
178,0.02748511688152476,0.00883774297770759,-2.5475829264629,-2.479329491255127,True,True,True
179,0.05545503810227918,0.014443874397711245,0.37767138871988376,0.41943347423119903,False,False,False
180,0.04477697613258558,0.011544894268280622,-0.4524098485479061,-0.40016109652865095,False,False,False
181,0.03350271801352372,0.012784213917493556,-1.290441640991463,-1.2432579563625237,False,False,False
182,0.03132041116722966,0.009309375439990678,-2.006535127214619,-1.9417395540206648,True,False,True
183,0.06869871490685014,0.014104958486543367,1.3256837958572782,1.3684493465880647,False,False,False
184,0.048261980879236506,0.012610495543470797,-0.13782322151990073,-0.08998954871675463,False,False,False
185,0.05820804903397956,0.012216381262642649,0.6718887416423013,0.7212655828478474,False,False,False
186,0.057021180357417656,0.013199463794228405,0.5319292106765529,0.5776285153691929,False,False,False
187,0.037230531613016656,0.010293799887438079,-1.2405009351858902,-1.1819019411984482,False,False,False
188,0.03711133252028414,0.01028989428201644,-1.2525558695234873,-1.193934633854805,False,False,False
189,0.06380533487135094,0.01327448494659526,1.03999024646842,1.0854312801611539,False,False,False
190,0.04734555515592807,0.012479733568046523,-0.21270044184825027,-0.16436557040064328,False,False,False
191,0.04336807107001667,0.011152560893945717,-0.5946552538963089,-0.540568455048219,False,False,False
192,0.059113280153046864,0.01272917760686537,0.7159362870490309,0.7633239766815945,False,False,False
193,0.058820031223669016,0.012764739711977655,0.6909683567924877,0.7382240260284144,False,False,False
194,0.05926611663076811,0.014148850055867069,0.6549024545585421,0.6975353410002063,False,False,False
195,0.04161841609434218,0.010892492117388075,-0.7694826689181626,-0.714104495474365,False,False,False
196,0.039797589690688764,0.011145727578203469,-0.91536512423496,-0.8612451654005505,False,False,False
197,0.03932769196644064,0.009369628932646264,-1.139032090841316,-1.0746532000604674,False,False,False
198,0.060389717927325455,0.013665125902815581,0.7603089793109583,0.8044510034680595,False,False,False
199,0.05279551670715713,0.011759145546814918,0.2377312786909354,0.2890280600183252,False,False,False
200,0.04554906329171221,0.011228051564957854,-0.39641220763350665,-0.3426890559163834,False,False,False
201,0.04417634043023018,0.010743417214916357,-0.5420677102332159,-0.4859211131454279,False,False,False
202,0.03783130344689479,0.010507704308020381,-1.1580737520199365,-1.100667652644691,False,False,False
203,0.053733688093460553,0.013464950823072815,0.2772893969328654,0.32208765320858035,False,False,False
204,0.058642899370879166,0.013240323363216957,0.6527710187872049,0.6983292956634092,False,False,False
205,0.05164390992976918,0.012242383716482699,0.1342802159971409,0.1835521822809439,False,False,False
206,0.03891131766703948,0.010642543088412807,-1.041920360654537,-0.9852415844728684,False,False,False
207,0.06250263713975496,0.013465587626406456,0.9284880457230753,0.9732841834370359,False,False,False
208,0.05005942355734395,0.01095742683686054,0.005423130651810076,0.06047312794522039,False,False,False
209,0.06446311247608787,0.015368737799090084,0.9410735393601524,0.9803224565840271,False,False,False
