variables,sample_size,density,arm,replications,false_connection_share,false_share_exact_low,false_share_exact_high,false_share_boot_low,false_share_boot_high,false_edges_per_network,false_positive_rate,strong_recovery,weak_recovery,blank_given_strong_truth,stability_strong,stability_weak,runtime_seconds,explore_matched_fc_curved,explore_straight_matched_fc_curved,baseline_matched_fc_curved,explore_matched_fc_straight,explore_straight_matched_fc_straight,baseline_matched_fc_straight,explore_matched_density_curved,explore_straight_matched_density_curved,baseline_matched_density_curved,explore_matched_density_straight,explore_straight_matched_density_straight,baseline_matched_density_straight,pass_1_false_connections,pass_2_recovery,pass_3_blank,pass_4_stability,pass_5_beats_baseline,pass_6_beats_straight_on_curved,pass_7_holds_on_straight,eligible
12,250,moderate,mixed,500,0.14997634442516952,0.14127184148004046,0.1590040919802586,0.1419401046803698,0.15784583083661433,1.902,0.04528571428571428,0.9993333333333334,0.3795844155844155,0.0,1.0,0.5555555555555556,4.135234532999448,0.4004885929452459,0.3926411212051137,0.2732752629304857,0.44521789321789323,0.5307647186147186,0.39294963924963927,0.6311378884990811,0.6670344079209405,0.6628504979682528,0.6532909812409812,0.7454022366522367,0.7557927128427129,False,True,True,True,False,True,False,False
15,75,moderate,mixed,500,0.14105642256902762,0.12940638470889798,0.15334020392773998,0.12953788546255507,0.15150718396637033,0.94,0.012533333333333334,0.9366666666666666,0.11654232804232803,0.0,1.0,0.2222222222222222,5.754872186500052,0.1793758313222063,0.19870249607180798,0.1524922524298489,0.19823896103896102,0.2989121212121212,0.21297200577200576,0.39638026949191396,0.5168054159950537,0.5415509603650832,0.4338626262626262,0.6153885281385281,0.6560673160173159,False,True,True,True,False,False,False,False
15,100,moderate,mixed,500,0.12708600770218229,0.11678034954386608,0.13795463372324837,0.11719965854656536,0.13662402257428435,0.99,0.0132,0.9696666666666668,0.15265343915343912,0.0,1.0,0.25,5.673152835500332,0.2199678099191111,0.24005992680684385,0.17535960348596347,0.23824603174603173,0.3511875180375181,0.2444023088023088,0.428408055467683,0.5391793250395617,0.56191932116447,0.4426392496392496,0.6313810245310244,0.6615334054834054,False,True,True,True,False,False,False,False
15,150,moderate,mixed,500,0.11739309210526316,0.10847592290737726,0.1267722856963963,0.10895340781021547,0.12611743924665653,1.142,0.015226666666666666,0.9946666666666667,0.21629629629629626,0.0,1.0,0.375,5.587175718999333,0.275294471797378,0.2896921684993539,0.19327185982252343,0.33301493506493507,0.44301572871572864,0.29930303030303024,0.47395648316172345,0.5857192487536195,0.608164000893589,0.5309879509379509,0.7046388888888889,0.7289589466089466,False,True,True,True,False,False,False,False
15,250,moderate,mixed,500,0.11578434556674246,0.10789493487274385,0.12403968164201634,0.1081470039564794,0.12346306333685352,1.426,0.019013333333333337,0.9993333333333334,0.30021693121693116,0.0,1.0,0.5,4.688610918999984,0.3557748013749813,0.3607440603068955,0.2336830382093832,0.405818759018759,0.5044459595959595,0.33435266955266957,0.5409465551396854,0.6280425230214578,0.6504035069203513,0.5803507215007214,0.7355311688311689,0.7619598124098125,False,True,True,True,False,False,False,False
12,75,sparse,mixed,500,0.1012075905692927,0.08742662188247499,0.11635019785267034,0.08869326382290248,0.11440082773776898,0.352,0.006518518518518518,0.8803333333333333,0.07197777777777778,0.002,1.0,0.0,2.27046625499986,0.28673116883116884,0.31346435786435783,0.29124711399711395,0.28473333333333334,0.43588571428571427,0.37176190476190474,0.42697886002886004,0.5384170995670995,0.5569380230880231,0.4482714285714286,0.6496238095238095,0.6486238095238095,False,True,True,True,False,False,False,False
12,100,sparse,mixed,500,0.11133501259445844,0.09782751628301886,0.12600217452122173,0.09877658466202385,0.1240040828748498,0.442,0.008185185185185182,0.936,0.0986888888888889,0.0,1.0,0.0,2.106433142999549,0.31109401154401156,0.34836695526695527,0.3079031024531025,0.32043809523809524,0.44384285714285715,0.3637761904761905,0.457486075036075,0.5752259018759018,0.5831256854256854,0.4546095238095238,0.6509857142857143,0.6581523809523809,False,True,True,True,False,False,False,False
12,150,sparse,mixed,500,0.1037451571244081,0.09163541395086906,0.11686420691790882,0.09213185454491929,0.11520754193471668,0.482,0.008925925925925926,0.985,0.15408888888888891,0.0,1.0,0.25,1.533000728999923,0.3715858585858585,0.4202352092352092,0.3613102453102453,0.3812,0.5258999999999999,0.44039999999999996,0.5180611832611832,0.6158313131313131,0.6211794372294371,0.5341333333333332,0.7161,0.7324333333333333,False,True,True,True,False,False,False,False
12,250,sparse,mixed,500,0.11870503597122302,0.1069080572038932,0.13131116819361732,0.10783572785156037,0.12964948052580777,0.66,0.012222222222222221,0.9963333333333333,0.22953333333333334,0.0,1.0,0.4,2.351178204500002,0.4209117604617605,0.4765329004329004,0.3812499278499279,0.4558904761904762,0.5979285714285714,0.4823238095238095,0.5658313131313132,0.6530535353535354,0.6579054112554112,0.5982095238095237,0.7670809523809523,0.7789285714285714,False,True,True,True,False,False,False,False
15,75,sparse,mixed,500,0.1017274472168906,0.08718019066651574,0.1177895771031393,0.08868467938877173,0.11550785415023365,0.318,0.003533333333333333,0.8256666666666668,0.041730769230769224,0.006,1.0,0.0,3.9335012690000895,0.20618887223887225,0.2418337495837496,0.22505231435231435,0.21309285714285717,0.3428690476190476,0.28696428571428567,0.31399332334332336,0.45091404706404703,0.4999220057720058,0.32870238095238097,0.5407595238095239,0.6002261904761905,False,True,True,True,False,False,False,False
15,100,sparse,mixed,500,0.07900677200902935,0.06687011957817264,0.09255799217387653,0.06685305828451159,0.09106466903390056,0.28,0.0031111111111111114,0.902,0.05853846153846153,0.002,1.0,0.0,3.3501101624998455,0.24103445443445445,0.2954492063492063,0.25660250305250304,0.2701404761904762,0.40442142857142854,0.3457833333333333,0.3432633144633145,0.4891026584526585,0.5398563325563325,0.36831428571428576,0.5871428571428571,0.6477928571428572,True,True,True,True,False,False,False,False
15,150,sparse,mixed,500,0.09818520241973011,0.08592605644752428,0.11155222384735301,0.08668495450752375,0.11049730089851834,0.422,0.004688888888888888,0.9793333333333333,0.09128205128205129,0.0,1.0,0.0,3.3144430724998983,0.2783283660783661,0.34955960705960704,0.2937093906093906,0.31239523809523806,0.45581428571428567,0.39051428571428576,0.39537130647130647,0.5491340215340215,0.5913022755022755,0.428847619047619,0.6598857142857144,0.6841571428571428,True,True,True,True,False,False,False,False
