replicate,seed,status,theta_hat,se_theta,p_equivalence,reject
389,91389,success,0.047668801166496445,0.01096599366949728,0.4158255826503259,False
390,91390,success,0.04044816411937018,0.012067028759902319,0.21430722286201576,False
391,91391,success,0.04378178702807665,0.011899226774730582,0.3006357654807073,False
392,91392,success,0.05950126401948383,0.01386001473867415,0.7534908652151211,False
393,91393,success,0.07028963812672775,0.014460223253030171,0.9197116325136372,False
394,91394,success,0.026234424732909215,0.00772855857920189,0.0010523951343267065,True
395,91395,success,0.049572284542280194,0.013008408049136461,0.48688517154859023,False
396,91396,success,0.05997121320164759,0.01372864194873505,0.7661748048925134,False
397,91397,success,0.02611825724871622,0.007808231648846696,0.001112113822419407,True
398,91398,success,0.031236107087129445,0.009334299908521177,0.02220454100824889,True
399,91399,success,0.04083966455856348,0.011645637954103817,0.21576113142716474,False
400,91400,success,0.04843009049331426,0.011564011398252094,0.4460062137105954,False
401,91401,success,0.051568308112263234,0.01191428996357277,0.5523625222864986,False
402,91402,success,0.039043572470164836,0.010219324355681207,0.14183118967751424,False
403,91403,success,0.04477845152519895,0.012077272742804793,0.3327453431306624,False
404,91404,success,0.046616633545951504,0.011571403518840919,0.38499410175253423,False
405,91405,success,0.043185539507014925,0.011242425508563757,0.27221158381398813,False
406,91406,success,0.06684017610367832,0.01495528683983948,0.8699246431032333,False
407,91407,success,0.05377501310736866,0.013247055625950062,0.6121664273747337,False
408,91408,success,0.033010992438318246,0.01089880086442388,0.05952233161528225,False
409,91409,success,0.02831021324431848,0.008978806060797276,0.007853254107436938,True
410,91410,success,0.05455490745878415,0.013555125979779684,0.6315752793973076,False
411,91411,success,0.053236292888858665,0.013523042111643473,0.5945700797710759,False
412,91412,success,0.08304811954629429,0.016574496763377793,0.9769192678921785,False
413,91413,success,0.038700782660017606,0.010767961002966328,0.14701157587074604,False
414,91414,success,0.030927286505435823,0.00978259254216239,0.02560842525084947,True
415,91415,success,0.045127310765738546,0.011081807209446445,0.33007659325798433,False
416,91416,success,0.02990681888248933,0.009163648737252167,0.014164309464122499,True
417,91417,success,0.035045145319302244,0.00904355764642146,0.04909959812898035,True
418,91418,success,0.03748856908446852,0.009522805513834928,0.09445023673861597,False
419,91419,success,0.04303221086967396,0.01190361312825658,0.2791559412795464,False
420,91420,success,0.040558177459429516,0.012105365290743242,0.21770424800381677,False
421,91421,success,0.053248825896839026,0.013891753733462698,0.59245597085808,False
422,91422,success,0.048228987212799626,0.01125622047897718,0.4374898819419485,False
423,91423,success,0.03496312177905899,0.013532821315444324,0.13325374191452755,False
424,91424,success,0.03549878082727997,0.010322328327671089,0.08003443879569139,False
425,91425,success,0.05685358805214232,0.014430909110742074,0.6825795012480382,False
426,91426,success,0.05694172294889128,0.014180280393432233,0.6877679946463393,False
427,91427,success,0.0664772265561726,0.014285409515703427,0.8756331287013346,False
428,91428,success,0.0608974548735544,0.01469144270922416,0.7708821832576257,False
429,91429,success,0.06735135405931213,0.014133838149561508,0.8902101127820219,False
430,91430,success,0.06805985738446117,0.014846756699819823,0.8880870743947882,False
431,91431,success,0.04234759194423842,0.012045838498421552,0.2626248625181059,False
432,91432,success,0.04313189180679088,0.012701487641978657,0.2943459591339489,False
433,91433,success,0.040682971290601506,0.010443804946919055,0.18616683688336583,False
434,91434,success,0.037362014005577475,0.010033626966536226,0.10391351222292117,False
435,91435,success,0.05380348161942715,0.013313197323724376,0.6124432038027176,False
436,91436,success,0.059783292454409755,0.012998766329802588,0.7741645731977771,False
437,91437,success,0.05255952398443845,0.012512316008154802,0.5810421893872866,False
438,91438,success,0.05976817315018598,0.01314555642005071,0.7712827565286612,False
439,91439,success,0.04354072673165957,0.012807033100527714,0.3070064584755572,False
440,91440,success,0.030421440398314556,0.008509410833222557,0.010701113176453074,True
441,91441,success,0.030124746862749935,0.009901322033416446,0.022357094430428336,True
442,91442,success,0.03227690833483581,0.011226812293863103,0.05720936082330015,False
443,91443,success,0.05292766097288993,0.013596484751033007,0.5852429698371399,False
444,91444,success,0.062429945672090335,0.014169945837438554,0.8098123176784106,False
445,91445,success,0.0321652688047288,0.009210666079142735,0.02641469723528409,True
446,91446,success,0.05304679153974613,0.013428957821852232,0.5897423295659111,False
447,91447,success,0.06750142579109075,0.01361049002800505,0.9007571285426903,False
448,91448,success,0.05366622648661888,0.01312636941997406,0.6099936178178124,False
449,91449,success,0.05042447023591723,0.012277745149728835,0.5137896164330947,False
450,91450,success,0.05228369029009599,0.013569624757669301,0.5668241149944824,False
451,91451,success,0.03314585451345888,0.010525862176015739,0.05466489486462653,False
452,91452,success,0.038990694928790426,0.010579774323691107,0.1490307931329548,False
453,91453,success,0.03871060385760117,0.010616858774733399,0.1438124967330241,False
454,91454,success,0.045544931356042685,0.012434109980311747,0.36006160446139507,False
455,91455,success,0.060055255268568405,0.0134498635006129,0.7726523475948788,False
456,91456,success,0.033925360944071,0.010656986082255116,0.06573039688418493,False
457,91457,success,0.05848747733294526,0.012518924710438702,0.7511051983875505,False
458,91458,success,0.05506503582001525,0.01589293450702503,0.6250219808804215,False
459,91459,success,0.04314278022846557,0.013280381905500587,0.302807762006124,False
460,91460,success,0.03644444491009105,0.0109583560072847,0.10804237744509149,False
461,91461,success,0.04004377138649803,0.011348314085155523,0.19015341872294855,False
462,91462,success,0.038629906505443096,0.012661868746674498,0.1845983461195162,False
463,91463,success,0.061763443202582244,0.013651482817237378,0.8055728900470358,False
464,91464,success,0.04553237569393911,0.011963334459738777,0.3544093557946607,False
465,91465,success,0.07371421564274164,0.015351979981677505,0.9387906734348872,False
466,91466,success,0.04240832033442393,0.010288305689925217,0.23028941414263504,False
467,91467,success,0.04649448304498473,0.011446294172827567,0.37970418079191137,False
468,91468,success,0.034928007805638504,0.009570145459707502,0.05764012485668315,False
469,91469,success,0.03518052799163814,0.010208161152183098,0.07328864389763216,False
470,91470,success,0.034863834856864354,0.00966679810982003,0.05869902327835244,False
471,91471,success,0.060171755526769365,0.014108092788981582,0.7645413313275182,False
472,91472,success,0.035365345741236294,0.010240520933461462,0.07648878800134845,False
473,91473,success,0.07003293499265172,0.01439656328513474,0.9179643034275248,False
474,91474,success,0.06344652179917715,0.015498268021929927,0.8071972924433704,False
475,91475,success,0.056695774014366096,0.011154360807772616,0.7258412020623756,False
476,91476,success,0.0452545389886781,0.011325743143756986,0.3376088845868821,False
477,91477,success,0.053339085172982456,0.013099753960287569,0.6005985903889783,False
478,91478,success,0.03347779132107301,0.008609240589037096,0.02748425935765697,True
479,91479,success,0.04698499157337277,0.012581952791537392,0.40530870442501926,False
480,91480,success,0.032840310749040036,0.011335160058240588,0.06503242293069152,False
481,91481,success,0.039033125001403185,0.010130321928865163,0.1394976396729809,False
482,91482,success,0.02553507137671183,0.009635730180922904,0.005558804957005099,True
483,91483,success,0.05103724967055771,0.011986084331644279,0.5344805556565437,False
484,91484,success,0.04669439395556937,0.010904438997697238,0.3808903836599938,False
485,91485,success,0.0247250355705282,0.009685765494874972,0.0045337878879000435,True
486,91486,success,0.025383477694766055,0.00871816002813145,0.0023744436395041237,True
487,91487,success,0.0443452365071955,0.010860983201993066,0.30130554343101257,False
488,91488,success,0.030658185033205887,0.009072492364053551,0.016506770576722896,True
489,91489,success,0.030627371556220927,0.00977613634644361,0.023760657853680537,True
490,91490,success,0.03137565822981505,0.008887223644903608,0.018057466546730946,True
491,91491,success,0.02336942889942434,0.0092103392842446,0.0019177832471442237,True
492,91492,success,0.06245819708347479,0.012691399271034477,0.8368577308921955,False
493,91493,success,0.042406007319753886,0.011801563498906242,0.25995847123661003,False
494,91494,success,0.07586021699602874,0.016494009553728477,0.9415425237803345,False
495,91495,success,0.05124567724520606,0.012228098653315382,0.5405700958210816,False
496,91496,success,0.06198080298796444,0.016230739381666137,0.7697898968290038,False
497,91497,success,0.0374596851237769,0.011007232041356384,0.12729327789529588,False
498,91498,success,0.058717843060572886,0.012124998699637875,0.7639287523941127,False
499,91499,success,0.07143756941323771,0.015426450871197163,0.917684396302885,False
500,91500,success,0.038186475535117524,0.010734615332443357,0.1355555362490497,False
501,91501,success,0.09261275201191178,0.017026773594398612,0.9938373439209782,False
502,91502,success,0.05506521339759254,0.01184097171492955,0.6655907382556181,False
503,91503,success,0.03792004358186081,0.010185411360357792,0.11781001480458014,False
504,91504,success,0.034884694654153024,0.010699781344640193,0.07887576639915045,False
505,91505,success,0.07255267114043772,0.01596733547721694,0.921087637715026,False
506,91506,success,0.06500735145828473,0.01389436885574394,0.8599518735767808,False
507,91507,success,0.042881953744125734,0.01128466634423172,0.2640949605534353,False
508,91508,success,0.06096765211551922,0.012657636441898953,0.806887875715966,False
509,91509,success,0.05882764317150334,0.013084897322044044,0.7500489100685934,False
510,91510,success,0.05272952397394138,0.01272970526105409,0.5848908567646299,False
511,91511,success,0.07672987002639711,0.014651914095177425,0.9659486103180557,False
512,91512,success,0.051843169174676455,0.01112393698351758,0.5658011003933958,False
513,91513,success,0.04248709895382181,0.010328676387280205,0.23349575900881647,False
514,91514,success,0.04436910211363367,0.011398725339721532,0.31065533357254127,False
515,91515,success,0.04432343894730211,0.011586984649779732,0.312099361125904,False
516,91516,success,0.029280096041464386,0.009402375194927247,0.013773137211739823,True
517,91517,success,0.050763545899576025,0.011932853201555804,0.5255096582981188,False
518,91518,success,0.05024577930092172,0.012546328008044382,0.5078146756347599,False
519,91519,success,0.0514344430205317,0.011037105071475754,0.551703143993677,False
520,91520,success,0.056898556303941965,0.012913819097249219,0.7033982585299164,False
521,91521,success,0.05847116170319891,0.012374015126199919,0.7531995451818727,False
522,91522,success,0.04258209964076739,0.011492671289820152,0.25931905447700687,False
523,91523,success,0.045655067777452644,0.01215557318111755,0.36037985894783586,False
524,91524,success,0.05032480486331915,0.01157980126457515,0.5111885688448411,False
525,91525,success,0.055027470938049106,0.012109103939031522,0.6609953285511926,False
526,91526,success,0.05200626208397211,0.011876704611576588,0.5670718435120674,False
527,91527,success,0.023171524837567847,0.008479728810584728,0.0007785213122900692,True
528,91528,success,0.05857165507157035,0.012852344188614152,0.7475925992835122,False
529,91529,success,0.06287903635283573,0.012895776026065953,0.84103044627127,False
530,91530,success,0.03898788227357831,0.012697259759296949,0.19289348033262999,False
531,91531,success,0.054098957353514596,0.012719867263488005,0.6263677540181931,False
532,91532,success,0.07575111370274398,0.016606855011906254,0.9395049993003861,False
533,91533,success,0.035824402227734524,0.010498981305836493,0.08847785540202374,False
534,91534,success,0.04890232877472453,0.0106793491623631,0.4590670162417525,False
535,91535,success,0.04826757669908229,0.012152051889116468,0.44331797465629064,False
536,91536,success,0.0406839738835604,0.012882091391635757,0.2347857189232369,False
537,91537,success,0.05562482018929884,0.012732640687107923,0.670669944666637,False
538,91538,success,0.032711536129215464,0.00998465218938363,0.04168096794101215,True
539,91539,success,0.042853906790550546,0.011163891017849443,0.26105127402171163,False
540,91540,success,0.05768755666767274,0.011177606167982334,0.7541993384504315,False
541,91541,success,0.05095771057174966,0.010281989278453616,0.537105610505357,False
542,91542,success,0.05490286527521983,0.011709325176486466,0.6622876337526301,False
543,91543,success,0.03528180451950337,0.011157271653087986,0.09355827810635164,False
544,91544,success,0.04714418686060971,0.011192109963081799,0.39929857646137157,False
545,91545,success,0.04416926618346031,0.010771396641510623,0.29414475399370543,False
546,91546,success,0.04209532336195357,0.013005885961908006,0.2716677365660378,False
547,91547,success,0.059063360340513675,0.012383609370849083,0.7678801849660178,False
548,91548,success,0.03433904363737981,0.01037264290050765,0.0655430480199855,False
549,91549,success,0.03943911686537728,0.010324002260226728,0.15316700250992477,False
550,91550,success,0.044465366230725466,0.011865777401517362,0.3204514821673424,False
551,91551,success,0.04462761225936807,0.012496895472437559,0.3336349967200085,False
552,91552,success,0.06870135330002222,0.014451170617981885,0.9021856753401245,False
553,91553,success,0.03474433992898771,0.008902662167582476,0.043300506258487206,True
554,91554,success,0.04782522599878545,0.011946177774016287,0.4277726521771772,False
555,91555,success,0.04874390374578718,0.013732120977271108,0.463559017434606,False
556,91556,success,0.034286034086704824,0.0103771300179793,0.06497637541427805,False
557,91557,success,0.06134726603706686,0.01216036206149853,0.8246250047492787,False
558,91558,success,0.0517306116698189,0.010673309607944811,0.5644037179469564,False
559,91559,success,0.03259794377690559,0.010006343894795539,0.041008380332188184,True
560,91560,success,0.061952742540979336,0.0141075799155319,0.8015739905949129,False
561,91561,success,0.05421752412795569,0.013999560533835515,0.6183923298200203,False
562,91562,success,0.034352837992817825,0.01139327010325797,0.08481885769588166,False
563,91563,success,0.0623772113819069,0.013766227785099653,0.8157002231877887,False
564,91564,success,0.03575473728653395,0.012059455912402695,0.11875121101575542,False
565,91565,success,0.0374693901911654,0.011058354427116345,0.12857875674449737,False
566,91566,success,0.05599726577809388,0.013319407001810555,0.6737403944318137,False
567,91567,success,0.04553070454214568,0.011612481490068759,0.35016687613929887,False
568,91568,success,0.04334492360306189,0.011467055247349848,0.2808342842233653,False
569,91569,success,0.054438287529473564,0.01263921801600691,0.637262865892683,False
570,91570,success,0.06190186835503639,0.012020007052222713,0.8389548486997676,False
571,91571,success,0.05707369494280199,0.012440230302095014,0.7151910981398167,False
572,91572,success,0.04916644497616369,0.011771041558415005,0.47177287824352016,False
573,91573,success,0.050087912613862605,0.011905482499093414,0.5029458478418674,False
574,91574,success,0.041900006082189536,0.012224225173636055,0.2537875597146495,False
575,91575,success,0.047565310459501256,0.012966637858804716,0.4255301713364904,False
576,91576,success,0.06352180395581905,0.014073679588012237,0.8316702825835685,False
577,91577,success,0.04225044046213235,0.011673398349846568,0.253388388539291,False
578,91578,success,0.033851769538182655,0.008697400952721012,0.03167883783175398,True
579,91579,success,0.052762533907484935,0.01108871719470178,0.5983699504056191,False
580,91580,success,0.032366754674574554,0.010599071267792566,0.048090249702523236,True
581,91581,success,0.05621002462149274,0.012935445797511172,0.6844140805079122,False
582,91582,success,0.05751193253721242,0.013892294244971522,0.7056519670681234,False
583,91583,success,0.045697172518212203,0.013138113339197422,0.3716421269567474,False
584,91584,success,0.038650781519989366,0.010552039168378088,0.14106485730900575,False
585,91585,success,0.038458239009043035,0.010657016927255595,0.13939980377660216,False
586,91586,success,0.055795990037393155,0.013975445093032371,0.66082900297271,False
587,91587,success,0.022432580063035452,0.008485406210934179,0.000579456914525004,True
588,91588,success,0.04414411947034222,0.010922664958626567,0.29593713251909337,False
589,91589,success,0.04803100754911999,0.01074132655487964,0.42727739861864433,False
590,91590,success,0.06145652336704741,0.014711839449174533,0.7819300619251972,False
591,91591,success,0.06727421989269133,0.013038902144664032,0.9073848443517081,False
592,91592,success,0.02941019282844037,0.01027797485220015,0.022572861078380416,True
593,91593,success,0.043775602447488945,0.012552904178639518,0.30999899792474006,False
594,91594,success,0.04257598415194697,0.01123082906322203,0.2542936562309914,False
595,91595,success,0.04238535132385116,0.012204841033215582,0.26634532909150715,False
596,91596,success,0.040068613804987385,0.010995704994974985,0.18320829983886994,False
597,91597,success,0.042196644013222546,0.010466954530271936,0.2279777875225399,False
598,91598,success,0.052909593207288705,0.013403968917279182,0.585922919575258,False
599,91599,success,0.06327916953693417,0.012785084942921918,0.8505151561654878,False
