p,family,edge_strength,delta,checks_per_pair,correct_prune_rate,wrongful_prune_rate,strong_wrongful_prune_rate_040,strong_wrongful_prune_rate_060,familywise_wrongful_rate,unresolved_rate,candidate_adjacency_rate,mean_edges,edge_density,practical_absent,practical_present,strong_present_040,strong_present_060,replications,seconds_per_graph,mean_rejections
6,linear_gaussian,strong,0.05,5,0.11886457717327026,0.0,0.0,0.0,0.0,0.654,0.279,6.695,0.44633333333333336,1691,1309,842,576,200,0.03323293350001222,0.0
7,linear_gaussian,strong,0.05,6,0.16410640689396777,0.0,0.0,0.0,0.0,0.6585714285714286,0.23714285714285716,7.78,0.37047619047619046,2669,1531,921,603,200,0.04123297750003985,0.0
8,linear_gaussian,strong,0.05,7,0.19084763390535622,0.0,0.0,0.0,0.0,0.6651785714285714,0.20375,8.94,0.3192857142857143,3846,1754,1043,660,200,0.05567278700007591,0.0
9,linear_gaussian,strong,0.05,8,0.25818044259504447,0.0,0.0,0.0,0.0,0.63625,0.17416666666666666,9.7,0.26944444444444443,5287,1913,1147,714,200,0.05714724500005105,0.0
10,linear_gaussian,strong,0.05,9,0.2594899169632266,0.0,0.0,0.0,0.0,0.6421111111111111,0.16344444444444445,11.41,0.25355555555555553,6744,2256,1328,820,200,0.0813721429999805,0.0
4,linear_gaussian,strong,0.1,3,0.16333938294010888,0.0,0.0,0.0,0.0,0.6516666666666666,0.2733333333333333,3.475,0.5791666666666667,551,649,500,390,200,0.02708500649999223,1.01
5,linear_gaussian,strong,0.1,4,0.16634615384615384,0.0,0.0,0.0,0.0,0.706,0.2075,5.255,0.5255,1040,960,683,486,200,0.018084527500013794,0.0
6,linear_gaussian,strong,0.1,5,0.15699658703071673,0.0,0.0,0.0,0.0,0.7466666666666667,0.16133333333333333,6.695,0.44633333333333336,1758,1242,842,576,200,0.03323293350001222,0.0
7,linear_gaussian,strong,0.1,6,0.22801897117840203,0.0,0.0,0.0,0.0,0.7088095238095238,0.14238095238095239,7.78,0.37047619047619046,2741,1459,921,603,200,0.04123297750003985,0.0
8,linear_gaussian,strong,0.1,7,0.27414409810935103,0.0,0.0,0.0,0.0,0.69125,0.11714285714285715,8.94,0.3192857142857143,3914,1686,1043,660,200,0.05567278700007591,0.0
9,linear_gaussian,strong,0.1,8,0.3484593837535014,0.0,0.0,0.0,0.0,0.6381944444444444,0.10263888888888889,9.7,0.26944444444444443,5355,1845,1147,714,200,0.05714724500005105,0.0
10,linear_gaussian,strong,0.1,9,0.3478005865102639,0.0,0.0,0.0,0.0,0.6422222222222222,0.09422222222222222,11.41,0.25355555555555553,6820,2180,1328,820,200,0.0813721429999805,0.0
4,linear_gaussian,strong,0.2,3,0.28836424957841483,0.0,0.0,0.0,0.0,0.7266666666666667,0.13083333333333333,3.475,0.5791666666666667,593,607,500,390,200,0.02708500649999223,1.01
5,linear_gaussian,strong,0.2,4,0.2736935341009743,0.0,0.0,0.0,0.0,0.757,0.0885,5.255,0.5255,1129,871,683,486,200,0.018084527500013794,0.0
6,linear_gaussian,strong,0.2,5,0.27633668607728956,0.0,0.0,0.0,0.0,0.7563333333333333,0.06966666666666667,6.695,0.44633333333333336,1889,1111,842,576,200,0.03323293350001222,0.0
7,linear_gaussian,strong,0.2,6,0.37512953367875645,0.0,0.0,0.0,0.0,0.6833333333333333,0.058095238095238096,7.78,0.37047619047619046,2895,1305,921,603,200,0.04123297750003985,0.0
8,linear_gaussian,strong,0.2,7,0.4418377321603128,0.0,0.0,0.0,0.0,0.6326785714285714,0.04446428571428571,8.94,0.3192857142857143,4092,1508,1043,660,200,0.05567278700007591,0.0
9,linear_gaussian,strong,0.2,8,0.5054905490549055,0.0,0.0,0.0,0.0,0.5681944444444444,0.041805555555555554,9.7,0.26944444444444443,5555,1645,1147,714,200,0.05714724500005105,0.0
10,linear_gaussian,strong,0.2,9,0.515713476783692,0.0,0.0,0.0,0.0,0.5576666666666666,0.03755555555555556,11.41,0.25355555555555553,7064,1936,1328,820,200,0.0813721429999805,0.0
