learner_library_version,sample_size,scenario_family,replications,abstention_rate,median_theta_hat,median_se,family_quantile,critical_value,tolerated_se,resolution_floor,reachable
v2_quadratic_ridge,300,learner_misspecification_v1,600,0.0,0.18186982302790367,0.048671023174706576,-2.8943826489857596,-2.9536317078661014,0.06771324924070957,0.14375627730309917,True
v2_quadratic_ridge,300,nonlinear_continuous_v1,600,0.0,0.16738996840187617,0.039203007604368775,-2.9536317078661014,-2.9536317078661014,0.06771324924070957,0.11579124630397951,True
v3_nested_blend,100,bounded_composite_saturated_v1,600,0.0,0.21686149887240735,0.046413723255334015,-1.7028168383611813,-5.617440768753188,0.0356034016615703,0.26072634124414124,False
v3_nested_blend,100,bounded_composite_unsaturated_v1,600,0.0,0.21702309123426813,0.03522952804267315,-1.8745010584113526,-5.617440768753188,0.0356034016615703,0.19789978709084588,True
v3_nested_blend,100,continuous_linear_boundary_v1,600,0.0,0.19792117946206889,0.05760992067065234,-2.3602976456959213,-5.617440768753188,0.0356034016615703,0.3236203170599595,False
v3_nested_blend,100,learner_misspecification_v1,600,0.0,0.1284111362663637,0.07029759092172448,-5.617440768753188,-5.617440768753188,0.0356034016615703,0.39489255318882915,False
v3_nested_blend,100,nonlinear_continuous_v1,600,0.0,0.17214294479771747,0.06575817828458604,-2.8354981311075425,-5.617440768753188,0.0356034016615703,0.3693926715747742,False
v3_nested_blend,150,bounded_composite_saturated_v1,600,0.0,0.2186882250609692,0.037664312560550695,-1.581346154725102,-4.021471947500618,0.04973303372768815,0.1514659763841498,True
v3_nested_blend,150,bounded_composite_unsaturated_v1,600,0.0,0.2146134961031725,0.02817432138589232,-1.6593519785700275,-4.021471947500618,0.04973303372768815,0.11330224309323271,True
v3_nested_blend,150,continuous_linear_boundary_v1,600,0.0,0.1974159065866369,0.04677683244913761,-2.130553163068625,-4.021471947500618,0.04973303372768815,0.18811171948714356,True
v3_nested_blend,150,learner_misspecification_v1,600,0.0,0.1614075522243858,0.06027293454260356,-4.021471947500618,-4.021471947500618,0.04973303372768815,0.24238591545662122,False
v3_nested_blend,150,nonlinear_continuous_v1,600,0.0,0.17743658675663226,0.052858294937971034,-2.6710171299946324,-4.021471947500618,0.04973303372768815,0.21256815028576445,False
v3_nested_blend,200,bounded_composite_saturated_v1,600,0.0,0.21256223882542075,0.03188993668816295,-1.6328035705383401,-4.264003012423015,0.04690428206014569,0.13597878610430605,True
v3_nested_blend,200,bounded_composite_unsaturated_v1,600,0.0,0.21200213736822038,0.024294770756338936,-1.453118660269696,-4.264003012423015,0.04690428206014569,0.1035929756911558,True
v3_nested_blend,200,continuous_linear_boundary_v1,600,0.0,0.19817264668026655,0.04042468139710305,-2.2589898005396027,-4.264003012423015,0.04690428206014569,0.17237096325348802,True
v3_nested_blend,200,learner_misspecification_v1,600,0.0,0.17035821933866507,0.05426691022407835,-4.264003012423015,-4.264003012423015,0.04690428206014569,0.2313942686703594,False
v3_nested_blend,200,nonlinear_continuous_v1,600,0.0,0.17586615808149614,0.0445784293650978,-2.646011397138688,-4.264003012423015,0.04690428206014569,0.19008255710186364,True
v3_nested_blend,300,bounded_composite_saturated_v1,600,0.0,0.20935428231979297,0.02575540952205009,-1.6329806056763914,-3.4727256506958595,0.05759164993639054,0.08944147129139973,True
v3_nested_blend,300,bounded_composite_unsaturated_v1,600,0.0,0.2119019964488799,0.019677566012414556,-1.324496234867237,-3.4727256506958595,0.05759164993639054,0.06833478823457306,True
v3_nested_blend,300,continuous_linear_boundary_v1,600,0.0,0.19940501643388675,0.032579823426106345,-1.9880416367126075,-3.4727256506958595,0.05759164993639054,0.11314078850698137,True
v3_nested_blend,300,learner_misspecification_v1,600,0.0,0.18052119671531186,0.045404305403037346,-3.4727256506958595,-3.4727256506958595,0.05759164993639054,0.15767669602515638,True
v3_nested_blend,300,nonlinear_continuous_v1,600,0.0,0.18049611628378706,0.036021710575167856,-2.733995063678966,-3.4727256506958595,0.05759164993639054,0.12509351829632773,True
v4_cubic_blend,100,bounded_composite_saturated_v1,600,0.0,0.21701018178947407,0.047032382137187044,-1.7117361973905598,-5.131523049525417,0.03897478352328492,0.24134775301106282,False
v4_cubic_blend,100,bounded_composite_unsaturated_v1,600,0.0,0.20732014553466585,0.034088397865296174,-1.854313797901115,-5.131523049525417,0.03897478352328492,0.17492539936716034,True
v4_cubic_blend,100,continuous_linear_boundary_v1,600,0.0,0.2002813230739538,0.05826369050286164,-2.389617364527802,-5.131523049525417,0.03897478352328492,0.29898147076584963,False
v4_cubic_blend,100,learner_misspecification_v1,600,0.0,0.12845251703905897,0.07401764663195651,-5.131523049525417,-5.131523049525417,0.03897478352328492,0.37982325976351217,False
v4_cubic_blend,100,nonlinear_continuous_v1,600,0.0,0.16844562497317123,0.06739319380026487,-2.6890708225532127,-5.131523049525417,0.03897478352328492,0.34582972736719264,False
v4_cubic_blend,150,bounded_composite_saturated_v1,600,0.0,0.2184742500810908,0.03767798669693175,-1.5961618144742267,-3.926142305233502,0.05094058861121828,0.14792913754684886,True
v4_cubic_blend,150,bounded_composite_unsaturated_v1,600,0.0,0.20467225824609925,0.027556748987576575,-2.1709226828015358,-3.926142305233502,0.05094058861121828,0.10819171799482487,True
v4_cubic_blend,150,continuous_linear_boundary_v1,600,0.0,0.1962469665770855,0.046860141265707034,-2.061177241383169,-3.926142305233502,0.05094058861121828,0.18397958305251058,True
v4_cubic_blend,150,learner_misspecification_v1,600,0.0,0.15376314639017924,0.061885839371222676,-3.926142305233502,-3.926142305233502,0.05094058861121828,0.24297261205024243,False
v4_cubic_blend,150,nonlinear_continuous_v1,600,0.0,0.17673695474135612,0.05361648300507034,-2.549061637029066,-3.926142305233502,0.05094058861121828,0.21050594218403976,False
v4_cubic_blend,200,bounded_composite_saturated_v1,600,0.0,0.21271904597427616,0.0318883533770103,-1.604153732526465,-4.338888011693757,0.04609475963910087,0.13835999418016412,True
v4_cubic_blend,200,bounded_composite_unsaturated_v1,600,0.0,0.20183221997461426,0.023340135553921854,-1.85584208822934,-4.338888011693757,0.04609475963910087,0.10127023434621876,True
v4_cubic_blend,200,continuous_linear_boundary_v1,600,0.0,0.19833809761181848,0.040582501996007395,-2.197094792754085,-4.338888011693757,0.04609475963910087,0.17608293139501444,True
v4_cubic_blend,200,learner_misspecification_v1,600,0.0,0.1711420132166927,0.055216069810909624,-4.338888011693757,-4.338888011693757,0.04609475963910087,0.23957634335540134,False
v4_cubic_blend,200,nonlinear_continuous_v1,600,0.0,0.17446282952997283,0.04436527367592718,-2.524879576902455,-4.338888011693757,0.04609475963910087,0.19249595408799305,True
v4_cubic_blend,300,bounded_composite_saturated_v1,600,0.0,0.20926176178449402,0.025773742482827454,-1.6336556507816247,-3.385865576781059,0.05906909044810336,0.08726642745742505,True
v4_cubic_blend,300,bounded_composite_unsaturated_v1,600,0.0,0.20223722705803965,0.018900471985977385,-1.7958000380351207,-3.385865576781059,0.05906909044810336,0.06399445748223556,True
v4_cubic_blend,300,continuous_linear_boundary_v1,600,0.0,0.19966990879279928,0.03259855223656885,-1.9882411174075756,-3.385865576781059,0.05906909044810336,0.11037431587069767,True
v4_cubic_blend,300,learner_misspecification_v1,600,0.0,0.18084336155452377,0.04585160364446274,-3.385865576781059,-3.385865576781059,0.05906909044810336,0.15524736641999531,True
v4_cubic_blend,300,nonlinear_continuous_v1,600,0.0,0.1860227566790496,0.03579720470398667,-2.6032959857738214,-3.385865576781059,0.05906909044810336,0.12120452315221344,True
